step,loss,acc
0,2.3026027801902083,0.085
1,2.3024714414883363,0.14
2,2.302362948878617,0.13
3,2.3021193877812194,0.225
4,2.301945927230791,0.165
5,2.3014831612743705,0.195
6,2.30025144742005,0.16
7,2.2993005279391845,0.195
8,2.29722943442416,0.18
9,2.298500644274782,0.16
10,2.2931828394591003,0.145
11,2.2907186728930267,0.155
12,2.274454270810225,0.19
13,2.26005654926362,0.165
14,2.253533063735618,0.205
15,2.242398026991153,0.115
16,2.1949086091962187,0.2
17,2.1983552796380836,0.19
18,2.1727305853221437,0.235
19,2.1775098966085853,0.22
20,2.189431747269023,0.205
21,2.1105385991471524,0.24
22,2.1412788798840072,0.155
23,2.0706478282852263,0.24
24,2.139167324083956,0.2
25,2.152844582464092,0.195
26,2.038356112088325,0.27
27,2.1054601748252937,0.24
28,2.0540297958968945,0.22
29,2.0174781324766813,0.21
30,2.0047685947398852,0.265
31,2.0644205960843354,0.235
32,2.0320459774083326,0.185
33,2.0460682270419936,0.215
34,2.105408099718028,0.17
35,2.039247034252032,0.255
36,1.97704406734748,0.255
37,2.035758350569742,0.32
38,1.999390847653822,0.285
39,1.9858756719922128,0.285
40,1.9314467666587336,0.28
41,1.9992981602141202,0.285
42,1.9676465917601382,0.35
43,1.9674168988892375,0.29
44,2.0331478096094378,0.305
45,1.9373280770519778,0.255
46,1.9179693191808163,0.285
47,2.0360851240834497,0.245
48,1.9349081809458784,0.32
49,1.9001200894023047,0.35
50,2.034974167570101,0.255
51,1.9403794946216482,0.355
52,2.062684529920559,0.23
53,1.8474330993255865,0.375
54,1.8846115147023497,0.29
55,1.886887186808423,0.29
56,1.8948936772707634,0.28
57,1.8767535373373494,0.3
58,1.8533069027875921,0.385
59,1.928247710818688,0.295
60,1.8415604604303877,0.275
61,1.8930865037576485,0.335
62,1.8920836867606807,0.3
63,1.877801537189166,0.31
64,1.805714281159319,0.32
65,1.8773180971932077,0.31
66,1.9384347222719398,0.26
67,1.8962957573421793,0.35
68,1.8544148874761543,0.335
69,1.8337792540449673,0.3
70,1.843948367543093,0.325
71,1.935797159628986,0.345
72,1.8238438244367792,0.37
73,1.839244403119236,0.385
74,1.8484408748186467,0.345
75,1.970381459682032,0.31
76,1.8452665154089352,0.34
77,1.9099506354084628,0.355
78,1.8479820136511953,0.355
79,1.9405161327198968,0.265
80,1.8138418314932983,0.34
81,1.8903382497543602,0.28
82,1.8185202802104332,0.3
83,1.8751907847029252,0.29
84,1.8060838090985596,0.325
85,1.9154879718025215,0.315
86,1.7852173387177304,0.355
87,1.8147923664377592,0.3
88,1.8501700195128794,0.335
89,1.8159618035327452,0.37
90,1.7989626817410067,0.38
91,1.7711825374586239,0.385
92,1.8399597454209464,0.35
93,1.8102382453137875,0.355
94,1.7999942587390296,0.385
95,1.7372611449170519,0.38
96,1.8286241165533295,0.3
97,1.7468221681634741,0.36
98,1.7842380938917737,0.375
99,1.7659898204303761,0.335
100,1.747862672562586,0.355
101,1.7606476745112423,0.385
102,1.8524764944281427,0.33
103,1.7839283960198749,0.37
104,1.6900398972114874,0.385
105,1.7585574623595357,0.38
106,1.7573563398804308,0.39
107,1.679386139146003,0.415
108,1.684517547356814,0.4
109,1.851521116585791,0.365
110,1.7165159439703894,0.395
111,1.7953575780050706,0.36
112,1.7487548413029408,0.355
113,1.748921979175027,0.38
114,1.8425763782306654,0.335
115,1.712595441191094,0.37
116,1.6320384176439577,0.395
117,1.7379370100623042,0.38
118,1.7068219080032352,0.375
119,1.7195750359156186,0.375
120,1.5870958331758847,0.405
121,1.7545387784973308,0.355
122,1.602749018841431,0.425
123,1.7128156711239964,0.35
124,1.7894788001107202,0.36
125,1.657269033006371,0.425
126,1.655818075577874,0.395
127,1.69339721653762,0.4
128,1.8432140261933452,0.335
129,1.640467681156222,0.39
130,1.5068292710472713,0.425
131,1.7482127048328053,0.365
132,1.7187440365065347,0.365
133,1.6318074381635217,0.405
134,1.7217309974744177,0.375
135,1.784575704752067,0.355
136,1.7492552558082861,0.39
137,1.7919561202516485,0.345
138,1.726788562776492,0.375
139,1.8997403366887893,0.325
140,1.938735500113084,0.31
141,1.701364254742209,0.355
142,1.7283114738575045,0.34
143,1.7307866543331523,0.33
144,1.570674839631478,0.49
145,1.7973808609494415,0.34
146,1.75344383140262,0.345
147,1.655832650014657,0.365
148,1.768064544581163,0.36
149,1.6738781176234665,0.37
150,1.7123315373971173,0.34
151,1.6825594423460353,0.39
152,1.7321443443109308,0.405
153,1.773117099531931,0.36
154,1.7825902440126624,0.325
155,1.7622090253135958,0.44
156,1.7312112564855031,0.44
157,1.7820957083352176,0.37
158,1.7529785944378582,0.365
159,1.8019377813444732,0.365
160,1.6812578330078771,0.42
161,1.6994028976139592,0.42
162,1.6881945897034474,0.415
163,1.7752240261873522,0.365
164,1.7765945269440055,0.37
165,1.7285692970911595,0.395
166,1.6894829601331134,0.375
167,1.826556314681771,0.365
168,1.865779295688542,0.325
169,1.6694731713143895,0.415
170,1.64050776515236,0.425
171,1.6451157716914013,0.405
172,1.7220932299956966,0.43
173,1.675600344518365,0.42
174,1.6975416602728728,0.38
175,1.687558060294201,0.41
176,1.6485060440980508,0.435
177,1.6509643065087631,0.42
178,1.811717754841538,0.315
179,1.6665778979878518,0.42
180,1.6762084113759261,0.42
181,1.6585344495682979,0.455
182,1.6309776470594828,0.46
183,1.6470019127293904,0.42
184,1.8014910443908394,0.39
185,1.6607403680011792,0.39
186,1.7545794671183668,0.36
187,1.7249067943641267,0.385
188,1.70932057633409,0.415
189,1.6073106090746376,0.405
190,1.7332221580574632,0.35
191,1.8332171516498925,0.385
192,1.646004407373209,0.385
193,1.6952295192084075,0.4
194,1.5703601084276002,0.43
195,1.6367435239116483,0.38
196,1.6952663753554384,0.39
197,1.7128511723547706,0.37
198,1.8515885352136983,0.38
199,1.6757192695980023,0.435
200,1.6193591951851536,0.425
201,1.8095665651915451,0.355
202,1.6277181356938326,0.43
203,1.635214983056219,0.42
204,1.8396615157948963,0.4
205,1.793238867101407,0.33
206,1.7747918137762095,0.37
207,1.7889129567626731,0.345
208,1.616181979589689,0.435
209,1.638151764068147,0.385
210,1.7283583137596465,0.39
211,1.6257072064771847,0.425
212,1.6956699014373307,0.41
213,1.7986802316883082,0.36
214,1.809695343719588,0.38
215,1.7094701639970133,0.435
216,1.7770538853931948,0.35
217,1.7558082157117632,0.4
218,1.5797087322936438,0.44
219,1.638594689688784,0.38
220,1.633617814613511,0.405
221,1.6924659306983785,0.42
222,1.7266920401454195,0.34
223,1.6811308520384163,0.41
224,1.6509745927626973,0.395
225,1.5476358440853495,0.495
226,1.7455749739522741,0.325
227,1.576151141896989,0.425
228,1.7083934402766983,0.375
229,1.7156665608065995,0.38
230,1.5747548303797867,0.45
231,1.7561984187365283,0.365
232,1.7714803383710256,0.35
233,1.6575890968552156,0.425
234,1.6343350885427848,0.43
235,1.6571361724232827,0.45
236,1.6195381661693955,0.45
237,1.6867875375533379,0.4
238,1.5647898194050711,0.43
239,1.7631600057690064,0.365
240,1.751017665421723,0.355
241,1.6661154375600524,0.385
242,1.6583049831212338,0.4
243,1.7082150654011579,0.4
244,1.6807725642536147,0.4
245,1.6284689622173512,0.465
246,1.5596250813518018,0.43
247,1.6310973151227337,0.445
248,1.598277533953664,0.385
249,1.6237176821395354,0.44
250,1.6103639120397188,0.425
251,1.5793329617325345,0.435
252,1.7049317493296576,0.38
253,1.6142715517857749,0.42
254,1.644620687242176,0.425
255,1.6713629318116905,0.43
256,1.6019000152064684,0.435
257,1.60595811923393,0.42
258,1.5554474142815924,0.49
259,1.7307068608519545,0.405
260,1.5637410063337656,0.46
261,1.5193926673131308,0.455
262,1.7104788527770034,0.39
263,1.570075651161187,0.46
264,1.6261438289867658,0.445
265,1.7111225825560203,0.405
266,1.5401591479159071,0.44
267,1.68001852429953,0.335
268,1.797596880974632,0.37
269,1.7580758873290785,0.39
270,1.7056448421731907,0.345
