step,loss,acc
0,2.3241469860076904,0.08
1,2.2432548999786377,0.18
2,2.2540369033813477,0.175
3,2.2129268646240234,0.22
4,2.1748807430267334,0.21
5,2.1352286338806152,0.23
6,2.096506118774414,0.265
7,2.1192822456359863,0.26
8,2.0870018005371094,0.28
9,2.160299062728882,0.21
10,2.089836359024048,0.265
11,2.134507417678833,0.26
12,2.038620948791504,0.26
13,2.019582509994507,0.26
14,2.006289005279541,0.28
15,2.032715082168579,0.29
16,2.0184378623962402,0.265
17,2.012655258178711,0.32
18,1.9868639707565308,0.32
19,2.0010225772857666,0.29
20,2.0019052028656006,0.28
21,1.9531151056289673,0.305
22,1.989201545715332,0.27
23,1.8695805072784424,0.355
24,1.977906346321106,0.27
25,2.020766019821167,0.22
26,1.8870185613632202,0.35
27,1.9396966695785522,0.32
28,1.8769993782043457,0.36
29,1.852952480316162,0.335
30,1.828975796699524,0.295
31,1.9090256690979004,0.325
32,1.9328421354293823,0.325
33,1.9508405923843384,0.285
34,1.94194757938385,0.3
35,1.8595945835113525,0.32
36,1.8833978176116943,0.35
37,1.9013370275497437,0.33
38,1.8520971536636353,0.31
39,1.8932949304580688,0.285
40,1.8167672157287598,0.345
41,1.832685112953186,0.345
42,1.8146265745162964,0.33
43,1.836153507232666,0.37
44,1.940576195716858,0.285
45,1.8635282516479492,0.28
46,1.8368972539901733,0.29
47,1.8776453733444214,0.325
48,1.8536802530288696,0.3
49,1.774808406829834,0.355
50,1.924143671989441,0.375
51,1.8877766132354736,0.365
52,1.9394820928573608,0.285
53,1.7727057933807373,0.355
54,1.7459232807159424,0.39
55,1.825514554977417,0.355
56,1.837316870689392,0.335
57,1.7772514820098877,0.345
58,1.7438271045684814,0.375
59,1.7972162961959839,0.35
60,1.7697149515151978,0.34
61,1.8327964544296265,0.335
62,1.7690409421920776,0.355
63,1.8257019519805908,0.325
64,1.709681510925293,0.405
65,1.8463389873504639,0.35
66,1.831885814666748,0.335
67,1.753218650817871,0.37
68,1.7728047370910645,0.35
69,1.7394658327102661,0.35
70,1.750701904296875,0.37
71,1.844451904296875,0.325
72,1.7223620414733887,0.375
73,1.7779484987258911,0.415
74,1.7511111497879028,0.365
75,1.873702883720398,0.375
76,1.7692419290542603,0.325
77,1.800540804862976,0.345
78,1.813087821006775,0.37
79,1.8022065162658691,0.34
80,1.7330197095870972,0.36
81,1.7962238788604736,0.315
82,1.7169417142868042,0.34
83,1.8275823593139648,0.32
84,1.7717719078063965,0.32
85,1.8710181713104248,0.33
86,1.7951585054397583,0.355
87,1.7211723327636719,0.385
88,1.8703091144561768,0.335
89,1.6980689764022827,0.42
90,1.7549164295196533,0.36
91,1.7269079685211182,0.38
92,1.7649390697479248,0.34
93,1.7672972679138184,0.39
94,1.761644721031189,0.405
95,1.6580837965011597,0.41
96,1.7862919569015503,0.35
97,1.7029134035110474,0.345
98,1.7181566953659058,0.355
99,1.712165117263794,0.33
100,1.6452865600585938,0.41
101,1.7415761947631836,0.36
102,1.8179984092712402,0.355
103,1.7129710912704468,0.36
104,1.6729719638824463,0.37
105,1.67435622215271,0.41
106,1.7336143255233765,0.375
107,1.6829125881195068,0.41
108,1.687930941581726,0.4
109,1.8205221891403198,0.36
110,1.688795804977417,0.37
111,1.7531853914260864,0.365
112,1.6896895170211792,0.38
113,1.668628215789795,0.43
114,1.744664192199707,0.4
115,1.6812996864318848,0.375
116,1.6150332689285278,0.425
117,1.702946424484253,0.38
118,1.691150188446045,0.405
119,1.6837685108184814,0.36
120,1.6042828559875488,0.385
121,1.7089695930480957,0.4
122,1.6229232549667358,0.455
123,1.7238621711730957,0.34
124,1.7922732830047607,0.395
125,1.6774766445159912,0.44
126,1.716915488243103,0.36
127,1.6816177368164062,0.385
128,1.7873977422714233,0.35
129,1.6352057456970215,0.405
130,1.5324472188949585,0.445
131,1.6886303424835205,0.435
132,1.6615004539489746,0.395
133,1.5902191400527954,0.475
134,1.745924711227417,0.375
135,1.788232445716858,0.325
136,1.7241090536117554,0.35
137,1.730290174484253,0.345
138,1.7248752117156982,0.34
139,1.7484605312347412,0.38
140,1.7855900526046753,0.35
141,1.747189998626709,0.34
142,1.748034954071045,0.325
143,1.6893764734268188,0.39
144,1.592647671699524,0.435
145,1.7236021757125854,0.38
146,1.7213321924209595,0.385
147,1.6609317064285278,0.39
148,1.7321783304214478,0.35
149,1.612911343574524,0.415
150,1.709428071975708,0.375
151,1.7069063186645508,0.39
152,1.7633056640625,0.4
153,1.7901498079299927,0.33
154,1.5984758138656616,0.4
155,1.7044851779937744,0.35
156,1.6670804023742676,0.415
157,1.7319025993347168,0.36
158,1.7044777870178223,0.39
159,1.820835828781128,0.355
160,1.6811550855636597,0.38
161,1.7431440353393555,0.35
162,1.682695746421814,0.38
163,1.6992131471633911,0.41
164,1.8372822999954224,0.36
165,1.6900748014450073,0.39
166,1.7143473625183105,0.375
167,1.7803223133087158,0.38
168,1.8524961471557617,0.36
169,1.689725637435913,0.385
170,1.5661031007766724,0.465
171,1.6161525249481201,0.405
172,1.772088885307312,0.425
173,1.6768492460250854,0.395
174,1.7272047996520996,0.345
175,1.6579617261886597,0.39
176,1.6701093912124634,0.42
177,1.668675422668457,0.37
178,1.7435274124145508,0.365
179,1.6462129354476929,0.44
180,1.7818515300750732,0.365
181,1.6128305196762085,0.425
182,1.6423150300979614,0.39
183,1.6238490343093872,0.38
184,1.7860040664672852,0.355
185,1.6896418333053589,0.375
186,1.6909457445144653,0.415
187,1.791857123374939,0.34
188,1.6889184713363647,0.425
189,1.6443345546722412,0.39
190,1.800910234451294,0.35
191,1.7501747608184814,0.4
192,1.5962635278701782,0.435
193,1.6758100986480713,0.375
194,1.5786477327346802,0.45
195,1.6374397277832031,0.37
196,1.627835750579834,0.45
197,1.6631942987442017,0.43
198,1.794872760772705,0.365
199,1.6792716979980469,0.41
200,1.6344066858291626,0.43
201,1.7698131799697876,0.41
202,1.5696799755096436,0.475
203,1.6551997661590576,0.42
204,1.8083219528198242,0.4
205,1.7549030780792236,0.335
206,1.6437128782272339,0.4
207,1.6865674257278442,0.375
208,1.5444707870483398,0.43
209,1.6386724710464478,0.425
210,1.7317630052566528,0.375
211,1.5967711210250854,0.465
212,1.689479112625122,0.395
213,1.730535864830017,0.385
214,1.6798677444458008,0.4
215,1.6923235654830933,0.355
216,1.684350609779358,0.39
217,1.7665088176727295,0.36
218,1.609519362449646,0.43
219,1.6585371494293213,0.415
220,1.6689934730529785,0.43
221,1.6942662000656128,0.42
222,1.6447001695632935,0.395
223,1.6489722728729248,0.385
224,1.6633154153823853,0.41
225,1.670392632484436,0.435
226,1.6868919134140015,0.385
227,1.575872778892517,0.415
228,1.6247503757476807,0.405
229,1.792289137840271,0.34
230,1.5224565267562866,0.445
231,1.747779130935669,0.375
232,1.7798713445663452,0.365
233,1.6012545824050903,0.435
234,1.6425013542175293,0.415
235,1.6015145778656006,0.42
236,1.6318297386169434,0.45
237,1.647060513496399,0.365
238,1.5604459047317505,0.43
239,1.8235052824020386,0.37
240,1.8029961585998535,0.34
241,1.65273118019104,0.395
242,1.6178370714187622,0.39
243,1.6544357538223267,0.41
244,1.6583980321884155,0.405
245,1.6088976860046387,0.445
246,1.5761107206344604,0.435
247,1.7093400955200195,0.4
248,1.6127444505691528,0.39
249,1.6908059120178223,0.415
250,1.5564216375350952,0.43
251,1.6580387353897095,0.43
252,1.655813455581665,0.43
253,1.57936429977417,0.445
254,1.5614216327667236,0.45
255,1.6214947700500488,0.415
256,1.6771491765975952,0.36
257,1.670392632484436,0.395
258,1.5315399169921875,0.445
259,1.596827507019043,0.405
260,1.598323106765747,0.44
261,1.6639256477355957,0.385
262,1.6279445886611938,0.405
263,1.6668152809143066,0.355
264,1.6898349523544312,0.395
265,1.6635801792144775,0.415
266,1.688734531402588,0.375
267,1.6094533205032349,0.42
268,1.4734355211257935,0.47
269,1.6446259021759033,0.39
270,1.679135799407959,0.42
271,1.7036441564559937,0.36
272,1.7283400297164917,0.37
273,1.5594912767410278,0.41
274,1.5537704229354858,0.41
275,1.5742607116699219,0.415
276,1.4859706163406372,0.475
277,1.5041674375534058,0.41
278,1.6428093910217285,0.41
279,1.5585170984268188,0.435
280,1.5509647130966187,0.475
281,1.6590038537979126,0.44
282,1.6806918382644653,0.4
283,1.6180568933486938,0.39
284,1.4574779272079468,0.505
285,1.5978484153747559,0.415
286,1.655388593673706,0.395
287,1.5689183473587036,0.45
288,1.4716696739196777,0.45
289,1.6857022047042847,0.355
290,1.6196014881134033,0.44
291,1.603751540184021,0.41
292,1.6244359016418457,0.43
293,1.6380435228347778,0.41
294,1.5433242321014404,0.435
295,1.5397812128067017,0.5
296,1.6535651683807373,0.4
297,1.6814035177230835,0.405
298,1.6365981101989746,0.43
299,1.624731183052063,0.465
300,1.7633224725723267,0.355
301,1.4222054481506348,0.48
302,1.4798474311828613,0.515
303,1.5628280639648438,0.43
304,1.4344655275344849,0.5
305,1.6679059267044067,0.39
306,1.4871439933776855,0.485
307,1.6295807361602783,0.39
308,1.559157371520996,0.425
309,1.7623602151870728,0.345
310,1.4364601373672485,0.515
311,1.6531606912612915,0.44
312,1.5656791925430298,0.47
313,1.6112112998962402,0.41
314,1.628481149673462,0.405
315,1.7002285718917847,0.345
316,1.511773705482483,0.46
317,1.6402573585510254,0.43
318,1.5392063856124878,0.475
319,1.552314043045044,0.485
320,1.6328026056289673,0.415
321,1.5582040548324585,0.465
322,1.5323758125305176,0.485
323,1.4803918600082397,0.48
324,1.5931471586227417,0.44
325,1.6062138080596924,0.415
326,1.5577940940856934,0.43
327,1.7616546154022217,0.36
328,1.652870535850525,0.42
329,1.5263084173202515,0.435
330,1.6729916334152222,0.39
331,1.6507943868637085,0.42
332,1.478389024734497,0.465
333,1.7790571451187134,0.35
334,1.7196893692016602,0.385
335,1.6159956455230713,0.435
336,1.5580424070358276,0.46
337,1.5786744356155396,0.415
338,1.5712565183639526,0.415
339,1.5846388339996338,0.425
340,1.5953730344772339,0.425
341,1.5410021543502808,0.47
342,1.546839952468872,0.415
343,1.625293254852295,0.39
344,1.6297856569290161,0.41
345,1.5644515752792358,0.46
346,1.5228662490844727,0.485
347,1.5294396877288818,0.41
348,1.617738962173462,0.41
349,1.6945099830627441,0.41
350,1.5746350288391113,0.45
351,1.5753414630889893,0.445
352,1.5671131610870361,0.415
353,1.523754596710205,0.5
354,1.5887222290039062,0.425
355,1.622897744178772,0.43
356,1.697297215461731,0.415
357,1.496040940284729,0.48
358,1.523080587387085,0.47
359,1.6184992790222168,0.425
360,1.4311827421188354,0.49
361,1.5481102466583252,0.43
362,1.5338696241378784,0.43
363,1.7061336040496826,0.37
364,1.8043293952941895,0.395
365,1.5270931720733643,0.455
366,1.5101078748703003,0.43
367,1.6498850584030151,0.355
368,1.602035641670227,0.42
369,1.5373939275741577,0.47
370,1.5171172618865967,0.48
371,1.662171483039856,0.39
372,1.565192461013794,0.44
373,1.5841864347457886,0.46
374,1.5520896911621094,0.375
375,1.5335906744003296,0.445
376,1.6146059036254883,0.45
377,1.6269280910491943,0.365
378,1.5710922479629517,0.425
379,1.4730424880981445,0.465
380,1.556920051574707,0.465
381,1.6096370220184326,0.44
382,1.7182492017745972,0.395
383,1.532768964767456,0.46
384,1.5677577257156372,0.44
385,1.551741600036621,0.425
386,1.6317132711410522,0.405
387,1.4697675704956055,0.46
388,1.7072278261184692,0.385
389,1.5727888345718384,0.38
390,1.5471142530441284,0.42
391,1.564070224761963,0.46
392,1.6844955682754517,0.39
393,1.6034393310546875,0.43
394,1.535088062286377,0.435
395,1.5319329500198364,0.44
396,1.586945652961731,0.48
397,1.5386106967926025,0.46
398,1.5308451652526855,0.44
399,1.6136374473571777,0.415
400,1.6424261331558228,0.395
401,1.582542061805725,0.405
402,1.6466927528381348,0.4
403,1.4579119682312012,0.475
