step,loss,acc
0,18.676652908325195,0.09
1,62.157466888427734,0.155
2,72.9096450805664,0.21
3,122.1323471069336,0.115
4,92.89932250976562,0.21
5,128.8648681640625,0.21
6,123.288818359375,0.15
7,120.08557891845703,0.135
8,122.1691665649414,0.155
9,132.8751983642578,0.14
10,67.15742492675781,0.17
11,118.17737579345703,0.185
12,67.39159393310547,0.22
13,59.59956359863281,0.18
14,48.35755920410156,0.23
15,66.51461029052734,0.17
16,58.98831558227539,0.18
17,59.026451110839844,0.21
18,62.821990966796875,0.195
19,57.176918029785156,0.175
20,62.67323684692383,0.185
21,49.57821273803711,0.23
22,45.487178802490234,0.19
23,59.18330001831055,0.19
24,62.60117721557617,0.095
25,37.59370422363281,0.155
26,49.23421859741211,0.17
27,46.976524353027344,0.155
28,44.6253776550293,0.13
29,54.257728576660156,0.175
30,69.75835418701172,0.165
31,47.725372314453125,0.16
32,34.43376541137695,0.19
33,43.61964797973633,0.185
34,27.166820526123047,0.225
35,23.308717727661133,0.26
36,27.811445236206055,0.215
37,31.149309158325195,0.215
38,30.68789291381836,0.2
39,37.3937873840332,0.205
40,18.70954132080078,0.19
41,42.56831359863281,0.225
42,30.559856414794922,0.195
43,17.989582061767578,0.235
44,22.086524963378906,0.22
45,21.6762752532959,0.27
46,21.777162551879883,0.22
47,13.149947166442871,0.28
48,26.110315322875977,0.175
49,23.26544952392578,0.19
50,17.683368682861328,0.24
51,14.648689270019531,0.185
52,14.766012191772461,0.13
53,12.482978820800781,0.195
54,11.240489959716797,0.255
55,9.742107391357422,0.275
56,11.416535377502441,0.17
57,8.439685821533203,0.255
58,14.63915729522705,0.21
59,8.509440422058105,0.245
60,7.438359260559082,0.28
61,6.069644927978516,0.26
62,5.234281539916992,0.26
63,4.58204460144043,0.265
64,4.385684967041016,0.275
65,4.132882595062256,0.225
66,4.572246551513672,0.265
67,4.208072662353516,0.26
68,4.823650360107422,0.21
69,4.377066135406494,0.285
70,3.6196165084838867,0.275
71,3.630368947982788,0.24
72,3.8386785984039307,0.29
73,4.1156325340271,0.21
74,3.6808431148529053,0.205
75,3.527017593383789,0.3
76,2.986494779586792,0.245
77,2.943687677383423,0.275
78,3.0306873321533203,0.33
79,3.621091604232788,0.2
80,3.361710548400879,0.28
81,3.0951530933380127,0.285
82,2.441704750061035,0.32
83,2.5494813919067383,0.305
84,2.6504430770874023,0.24
85,3.0643603801727295,0.265
